crew_id,flight_id,name,role,experience_years,license_no,contact,salary
1,2194,Nancy Knight,Co-Pilot,8,LIC12931,573-308-2544x5762,177868
2,1649,Beth Cox,Co-Pilot,11,LIC68277,(900)434-5040,80770
3,1824,David Martinez,Co-Pilot,25,LIC26314,001-911-675-0599x0260,100672
4,1480,Maria Anderson,Pilot,24,LIC37598,(248)263-7301x330,32777
5,1803,Jeffery Mckinney,Flight Attendant,29,LIC95523,(905)625-2896x397,124626
6,1428,Cynthia Hale,Flight Attendant,14,LIC51520,(778)529-9731x61932,145606
7,8,Connie Cox,Flight Attendant,8,LIC56039,(955)395-1874,187896
8,220,Micheal Allen,Flight Attendant,24,LIC66280,001-039-367-4089,70353
9,725,Zachary Pineda,Co-Pilot,24,LIC01408,943-763-2874,58658
10,102,Albert Larson,Flight Attendant,21,LIC35823,581.712.6411x076,101157
11,1702,Corey Long,Co-Pilot,10,LIC10787,001-511-029-2799x468,192897
12,2050,Walter Flores,Flight Attendant,3,LIC77723,028.575.1351,185263
13,771,Carrie Herrera,Flight Attendant,4,LIC30249,506-370-3915x328,173439
14,834,David Lang MD,Co-Pilot,25,LIC24855,631.871.9203,31503
15,740,Michele Murray,Co-Pilot,23,LIC18424,001-624-849-9231x20366,82379
16,200,Taylor Sanford,Flight Attendant,12,LIC30449,908-204-5786x71992,30827
17,1993,Brandon Lopez,Pilot,9,LIC05008,087-753-3482x6913,49615
18,26,Matthew Taylor,Flight Attendant,11,LIC17278,(480)320-9128x798,82025
19,2018,Stacey Medina,Flight Attendant,11,LIC42429,1701209591,170881
20,944,Teresa Jones,Flight Attendant,16,LIC79694,586-372-7601,108891
21,102,Maria Martin,Co-Pilot,13,LIC04916,(432)022-2885x11644,154065
22,1355,Angela Brown,Flight Attendant,27,LIC82365,+1-630-044-9254x9265,117772
23,2420,Christine Jackson,Pilot,14,LIC43706,001-522-359-7751x7254,175019
24,197,Morgan Scott,Flight Attendant,7,LIC83232,+1-686-453-5714,35632
25,510,Ariel Meyer,Pilot,12,LIC88788,185-505-2025x2594,38886
26,1996,Madison Green,Pilot,24,LIC06656,6043132889,50400
27,1015,Jimmy Dennis,Pilot,28,LIC75645,(729)610-0367x36604,190864
28,923,Derek Lawrence,Flight Attendant,19,LIC35843,676.397.9744x3569,146756
29,2347,Amy Rodriguez,Co-Pilot,8,LIC68678,566.657.3141x710,125586
30,1792,Carl Dickson,Co-Pilot,4,LIC08753,403.833.1711x45888,93414
31,1556,Jonathan Hopkins,Flight Attendant,22,LIC27984,001-152-434-4512x38012,52008
32,1332,Whitney Carr,Flight Attendant,17,LIC35754,+1-617-878-7283x17892,166595
33,21,Matthew Green,Pilot,2,LIC87124,001-771-180-0018,170510
34,1923,Amy Swanson,Flight Attendant,23,LIC21599,(772)071-4252,159012
35,1065,David Brown,Co-Pilot,22,LIC96998,137-910-8320x839,180063
36,1916,Mr. Seth Hart Jr.,Flight Attendant,13,LIC57099,669-356-8990x5491,78159
37,1522,Ronald Hoffman,Flight Attendant,26,LIC09861,871.733.8026x10158,193831
38,1984,Kimberly Zimmerman,Flight Attendant,28,LIC36010,522.540.7815x47178,95823
39,1900,Michelle Gibson,Pilot,21,LIC65893,5277892250,45796
40,967,Tonya Noble,Flight Attendant,7,LIC12272,121.608.5687x557,146091
41,1688,Elijah Jackson,Flight Attendant,18,LIC73782,001-101-418-1982x14487,100068
42,1332,Deborah Harris,Flight Attendant,10,LIC19115,536.691.0852x8610,73137
43,514,Mrs. Carolyn Yang DDS,Co-Pilot,4,LIC69362,(306)114-5795x3633,63208
44,41,Richard Richardson,Pilot,21,LIC95649,(182)619-1011x3529,51996
45,263,Brandon Mckay,Pilot,8,LIC51357,968-459-0475x23584,165957
46,1318,Anthony Guzman,Co-Pilot,22,LIC37817,(165)345-7708x8406,129572
47,1033,Howard Galvan,Pilot,22,LIC30214,347.668.7389,151907
48,1820,Sara Ray,Co-Pilot,21,LIC41181,+1-220-336-0518x0255,36864
49,128,Michael Miller,Pilot,26,LIC92345,401-687-7757,175637
50,1988,Roy Medina,Pilot,13,LIC46029,109-054-0285x4263,95721
51,525,Paul Bush,Pilot,14,LIC77451,001-236-652-6110x3637,116177
52,1756,Anne Brown,Flight Attendant,21,LIC25199,(583)805-2364x0437,177420
53,757,Patricia Wolfe,Pilot,17,LIC53462,001-288-458-8473x2253,138944
54,894,Steven Leon,Flight Attendant,12,LIC00792,239.027.5754,66311
55,2280,Joseph Curtis,Flight Attendant,4,LIC01187,605-039-9280x65755,137975
56,1592,Terri Dean,Flight Attendant,9,LIC03536,+1-861-767-5316x72763,198726
57,88,Katelyn Lyons,Co-Pilot,15,LIC48859,7430485364,132944
58,1588,Tracy Sutton,Pilot,15,LIC54726,+1-765-153-0394x550,155340
59,1788,Tara Knight,Pilot,18,LIC04343,192.881.7059,57154
60,637,Michael Johnson,Pilot,27,LIC13776,001-671-426-5653x416,129448
61,2249,Micheal Jones,Flight Attendant,6,LIC06247,864.244.4764x42044,181620
62,2409,Isaac Everett,Pilot,2,LIC18494,479-388-3762x8977,192084
